Date,NaturalGas,CrudeOil,HeatingOil,Consumption,Production,UndergroundStorage
2006-08-01,6.913000106811523,72.62999725341797,2.029400110244751,1751683,1656034,7181966.0
2006-09-01,5.392000198364258,63.33000183105469,1.7141000032424927,1462070,1617442,7538548.0
2006-10-01,6.454999923706055,58.8700008392334,1.6941999793052673,1644231,1675387,7669209.0
2006-11-01,7.924499988555908,59.19000053405762,1.6863499879837036,1765375,1615322,7622511.0
2006-12-01,7.417999982833862,62.30999946594238,1.7273499965667725,2122784,1685065,7280906.0
2007-01-01,6.638000011444092,55.040000915527344,1.5491000413894653,2475594,1652470,6599227.0
2007-02-01,7.546999931335449,59.060001373291016,1.684000015258789,2566993,1513461,5867298.0
2007-03-01,7.248500108718872,61.16499900817871,1.7214000225067139,2128845,1703085,5849891.0
2007-04-01,7.579999923706055,64.06499862670898,1.8616999983787537,1810079,1626673,5968611.0
2007-05-01,7.832499980926514,63.34000015258789,1.8788999915122986,1559080,1722549,6431710.0
2007-06-01,7.607999801635742,67.7699966430664,2.0106000900268555,1555226,1666465,6813786.0
2007-07-01,6.446000099182129,74.0199966430664,2.0873000621795654,1659882,1703237,7123259.0
2007-08-01,6.105999946594238,71.9800033569336,1.9891999959945679,1896137,1712771,7250170.0
2007-09-01,6.179999828338623,80.08999633789062,2.2190001010894775,1590484,1674745,7548786.0
2007-10-01,7.188000202178955,86.12999725341797,2.3071999549865723,1627791,1733373,7803634.0
2007-11-01,7.7230000495910645,94.63999938964844,2.587100028991699,1834529,1712314,7680213.0
2007-12-01,7.163500070571899,91.14999771118164,2.5963000059127808,2399154,1775203,7113475.0
2008-01-01,7.995999813079834,91.9000015258789,2.541800022125244,2733970,1765447,6288037.0
2008-02-01,8.716000080108643,95.47999954223633,2.656749963760376,2503421,1666095,5686255.0
2008-03-01,9.659500122070312,105.54500198364258,3.0061999559402466,2278151,1804065,5486589.0
2008-04-01,10.294000148773193,113.625,3.240499973297119,1823867,1740229,5658650.0
2008-05-01,11.39900016784668,125.95999908447266,3.6598000526428223,1576387,1797917,6064975.0
2008-06-01,12.79800033569336,134.6199951171875,3.822200059890747,1604249,1760998,6407107.0
2008-07-01,10.983999729156494,132.81999969482422,3.7840499877929688,1708641,1852724,6745390.0
2008-08-01,8.251999855041504,115.45999908447266,3.1635000705718994,1682924,1826392,7093832.0
2008-09-01,7.448999881744385,104.55000305175781,2.9391000270843506,1460924,1559028,7390883.0
2008-10-01,6.741000175476074,74.25,2.190500020980835,1635827,1754251,7634355.0
2008-11-01,6.704999923706055,56.15999984741211,1.8317999839782715,1868947,1757942,7577456.0
2008-12-01,5.711499929428101,42.795000076293945,1.4316999912261963,2399702,1826966,7072657.0
2009-01-01,4.822000026702881,41.69000053405762,1.4677499532699585,2729715,1870465,6370028.0
2009-02-01,4.452000141143799,39.560001373291016,1.2999999523162842,2332539,1704919,6000888.0
2009-03-01,3.9459999799728394,47.744998931884766,1.2467000484466553,2170709,1875053,5907540.0
2009-04-01,3.5989999771118164,49.97999954223633,1.3903000354766846,1741293,1783234,6165074.0
2009-05-01,3.9355000257492065,58.739999771118164,1.4977999925613403,1504000,1843327,6632164.0
2009-06-01,3.906000018119812,69.72000122070312,1.7837499976158142,1527833,1791993,7028031.0
2009-07-01,3.5770000219345093,64.01500129699707,1.6803500056266785,1657997,1827798,7353504.0
2009-08-01,3.1630001068115234,71.43000030517578,1.8920999765396118,1736462,1842284,7626392.0
2009-09-01,3.4579999446868896,69.29000091552734,1.7589000463485718,1574975,1733980,7921596.0
2009-10-01,4.811000108718872,77.22999954223633,1.9889999628067017,1666520,1814913,8091168.0
2009-11-01,4.5625,78.04499816894531,2.0250500440597534,1776171,1757520,8124989.0
2009-12-01,5.492499828338623,74.16500091552734,2.0003000497817993,2491864,1802449,7406742.0
2010-01-01,5.614999771118164,79.0199966430664,2.0460000038146973,2809788,1824143,6579900.0
2010-02-01,5.309999942779541,77.01000213623047,1.9962999820709229,2480950,1682869,5960953.0
2010-03-01,4.3470001220703125,81.48999786376953,2.0940001010894775,2142925,1864519,5929914.0
2010-04-01,4.070000171661377,84.87000274658203,2.2290000915527344,1691813,1813312,6289473.0
2010-05-01,4.14300012588501,74.18500137329102,2.0300000309944153,1617274,1886476,6698983.0
2010-06-01,4.789000034332275,75.78499984741211,2.035949945449829,1649515,1802492,7026700.0
2010-07-01,4.585999965667725,76.62000274658203,2.0169999599456787,1825828,1896082,7253018.0
2010-08-01,4.253000020980835,75.40499877929688,2.025049924850464,1878926,1917995,7442861.0
2010-09-01,3.882999897003174,75.0199966430664,2.114500045776367,1637491,1861038,7801450.0
2010-10-01,3.617000102996826,81.94000244140625,2.255000114440918,1664938,1956114,8155699.0
2010-11-01,4.03000020980835,84.11000061035156,2.325500011444092,1973294,1892658,8078136.0
2010-12-01,4.278000116348267,88.75,2.4799000024795532,2714054,1984174,7412447.0
2011-01-01,4.476500034332275,89.3599967956543,2.6189498901367188,2888640,1952732,6608635.0
2011-02-01,3.9860000610351562,87.4800033569336,2.756999969482422,2452403,1728929,6024215.0
2011-03-01,3.940999984741211,103.9800033569336,3.052500009536743,2230493,2002359,5879115.0
2011-04-01,4.246500015258789,109.79000091552734,3.2009999752044678,1825023,1960847,6092050.0
2011-05-01,4.261000156402588,99.80000305175781,2.918299913406372,1667396,2030695,6491219.0
2011-06-01,4.494500160217285,95.41500091552734,2.9943000078201294,1657334,1954453,6831426.0
2011-07-01,4.369999885559082,97.41500091552734,3.097200036048889,1890515,2032795,7075486.0
2011-08-01,3.940999984741211,85.72000122070312,2.942500114440918,1891783,2056617,7319424.0
2011-09-01,3.8289999961853027,86.44999694824219,2.944999933242798,1655634,1987134,7716989.0
2011-10-01,3.6040000915527344,86.11000061035156,3.0136001110076904,1744454,2118735,8105566.0
2011-11-01,3.549999952316284,97.41000366210938,3.038100004196167,2031872,2076152,8142609.0
2011-12-01,3.1549999713897705,99.41000366210938,2.9086999893188477,2541878,2134904,7763772.0
2012-01-01,2.6875,100.04499816894531,3.045300006866455,2756180,2152698,7219136.0
2012-02-01,2.5255000591278076,101.3550033569336,3.190200090408325,2500654,1974431,6758315.0
2012-03-01,2.291499972343445,106.63999938964844,3.2209500074386597,2127761,2118693,6794584.0
2012-04-01,2.0234999656677246,103.20999908447266,3.1534000635147095,1953071,2044519,6936421.0
2012-05-01,2.47599995136261,93.39500045776367,2.913550019264221,1873835,2121367,7219444.0
2012-06-01,2.494999885559082,83.2699966430664,2.6268999576568604,1868356,2039909,7453546.0
2012-07-01,2.944999933242798,88.13999938964844,2.824399948120117,2069773,2162384,7588106.0
2012-08-01,2.7760000228881836,94.62000274658203,3.092600107192993,2008815,2151742,7753994.0
2012-09-01,2.865000009536743,95.30000305175781,3.1468000411987305,1807208,2094289,8044851.0
2012-10-01,3.4700000286102295,91.25,3.1442999839782715,1901084,2168774,8294299.0
2012-11-01,3.6989998817443848,86.66999816894531,3.007999897003174,2167841,2101833,8171574.0
2012-12-01,3.4149999618530273,88.21500015258789,2.9993499517440796,2503907,2152640,7785322.0
2013-01-01,3.3350000381469727,94.23999786376953,3.05679988861084,2878785,2136400,7076700.0
2013-02-01,3.2909998893737793,95.86000061035156,3.1805999279022217,2567155,1935275,6483370.0
2013-03-01,3.8385000228881836,92.52999877929688,2.9267001152038574,2521108,2136856,6102195.0
2013-04-01,4.1554999351501465,93.13000106811523,2.8999000787734985,1967458,2094623,6236406.0
2013-05-01,4.0329999923706055,95.08500289916992,2.8876999616622925,1752469,2157048,6654641.0
2013-06-01,3.806999921798706,95.6349983215332,2.8760000467300415,1742917,2084393,7027246.0
2013-07-01,3.655500054359436,105.20999908447266,3.02114999294281,1926330,2196404,7302175.0
2013-08-01,3.402999997138977,106.69499969482422,3.0720999240875244,1927379,2191677,7574293.0
2013-09-01,3.603500008583069,106.90999984741211,3.0520999431610107,1766973,2115463,7927601.0
